Turning Movement Count,
15 Minute Counts,
DATE,TIME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR
11/18/2025,="0245",2,2,1,0,0,1,2,2,6,1,0,11,1,
11/18/2025,="0300",2,1,1,0,1,1,5,2,8,0,1,10,1,
11/18/2025,="0315",2,5,0,0,0,1,5,0,9,0,0,27,0,
11/18/2025,="0330",2,3,0,1,4,4,7,2,11,0,0,26,3,
11/18/2025,="0345",2,1,3,0,4,2,6,8,14,0,1,37,2,
11/18/2025,="0400",2,2,1,2,1,1,10,9,23,0,0,43,3,
11/18/2025,="0415",2,3,2,3,3,2,12,7,26,5,1,44,3,
11/18/2025,="0430",2,6,3,6,7,2,29,17,55,9,1,56,6,
11/18/2025,="0445",2,7,4,8,6,7,16,12,49,8,0,73,5,
11/18/2025,="0500",2,5,8,3,7,12,12,13,71,6,1,27,7,
11/18/2025,="0515",2,2,9,7,6,6,14,18,82,16,6,31,6,
11/18/2025,="0530",2,1,14,18,9,9,8,27,83,13,3,42,14,
11/18/2025,="0545",2,3,15,12,15,14,22,32,105,17,6,51,21,
11/18/2025,="0600",2,9,18,14,5,21,19,20,137,10,4,70,21,
11/18/2025,="0615",2,11,23,22,30,40,25,29,151,17,8,60,26,
11/18/2025,="0630",2,15,40,38,33,41,33,38,217,19,20,72,52,
11/18/2025,="0645",2,8,37,74,29,30,29,22,222,35,10,70,44,
11/18/2025,="0700",2,40,62,45,75,66,36,34,295,24,32,120,12,
11/18/2025,="0715",2,53,98,57,84,76,33,41,300,13,38,156,28,
11/18/2025,="0730",2,47,107,97,67,107,33,36,318,12,27,175,28,
11/18/2025,="0745",2,29,88,92,71,93,44,41,308,11,24,167,14,
11/18/2025,="0800",2,26,101,93,67,108,27,42,308,18,23,122,30,
11/18/2025,="0815",2,40,91,71,78,95,16,52,304,12,23,128,29,
11/18/2025,="0830",2,43,99,61,95,79,35,54,285,19,33,107,28,
11/18/2025,="0845",2,48,85,59,78,60,32,62,239,29,43,121,26,
11/18/2025,="0900",2,37,55,43,83,62,41,43,281,22,28,146,34,
11/18/2025,="0915",2,36,41,32,68,54,39,38,218,26,21,121,25,
11/18/2025,="0930",2,31,65,31,73,54,31,42,206,22,23,96,30,
11/18/2025,="0945",2,24,59,33,55,54,39,56,218,31,33,119,41,
11/18/2025,="1000",2,33,76,42,50,56,41,33,188,22,29,136,44,
11/18/2025,="1015",2,24,58,42,58,44,34,35,194,29,21,152,28,
11/18/2025,="1030",2,38,53,37,57,54,35,30,174,28,28,134,40,
11/18/2025,="1045",2,40,51,34,47,57,42,49,159,29,38,148,37,
11/18/2025,="1100",2,38,63,34,47,64,53,36,202,26,26,149,49,
11/18/2025,="1115",2,48,64,33,63,60,62,33,183,23,31,149,27,
11/18/2025,="1130",2,49,50,30,69,67,36,45,216,19,29,184,39,
11/18/2025,="1145",2,68,74,41,62,78,49,47,172,24,46,157,63,
11/18/2025,="1200",2,45,60,20,61,66,48,39,184,12,32,181,38,
11/18/2025,="1215",2,67,58,22,66,51,45,39,195,17,42,186,52,
11/18/2025,="1230",2,48,68,26,70,72,45,59,192,27,37,170,61,
11/18/2025,="1245",2,48,50,30,54,59,59,43,220,22,34,203,49,
11/18/2025,="1300",2,47,58,21,55,66,58,28,164,24,40,179,41,
11/18/2025,="1315",2,53,46,21,46,61,65,44,189,33,36,198,44,
11/18/2025,="1330",2,53,55,37,54,62,55,46,165,17,35,164,34,
11/18/2025,="1345",2,46,64,26,48,60,54,41,193,27,26,201,47,
11/18/2025,="1400",2,51,59,30,61,61,49,43,222,17,37,223,47,
11/18/2025,="1415",2,53,57,21,59,79,61,45,222,35,40,193,35,
11/18/2025,="1430",2,58,56,22,48,83,53,33,206,21,53,256,42,
11/18/2025,="1445",2,65,67,29,57,47,68,45,229,16,52,253,42,
11/18/2025,="1500",2,67,74,23,66,70,62,55,250,38,46,261,37,
11/18/2025,="1515",2,64,52,23,67,73,64,55,273,26,36,252,35,
11/18/2025,="1530",2,76,53,48,74,76,63,51,232,20,38,306,61,
11/18/2025,="1545",2,83,44,30,62,70,54,69,239,23,70,259,49,
11/18/2025,="1600",2,65,48,13,72,51,70,57,193,18,101,285,104,
11/18/2025,="1615",2,68,70,33,113,57,66,80,204,21,71,217,135,
11/18/2025,="1630",2,68,110,22,54,94,77,37,217,24,9,32,94,
11/18/2025,="1645",2,70,81,19,54,112,72,39,237,31,13,54,72,
11/18/2025,="1700",2,70,87,28,44,117,67,31,207,28,45,258,47,
11/18/2025,="1715",2,52,57,25,32,75,58,28,180,38,20,146,49,
11/18/2025,="1730",2,67,63,36,49,74,38,35,187,33,33,204,60,
11/18/2025,="1745",2,53,67,18,49,74,53,38,208,22,31,219,51,
11/18/2025,="1800",2,67,48,11,36,65,50,38,213,22,23,225,66,
11/18/2025,="1815",2,60,57,31,53,58,57,41,184,24,23,215,67,
11/18/2025,="1830",2,40,40,21,42,40,65,38,140,20,26,180,37,
11/18/2025,="1845",2,44,38,15,35,38,47,26,139,23,14,176,46,
11/18/2025,="1900",2,28,30,15,34,38,46,26,105,12,13,150,46,
11/18/2025,="1915",2,45,29,15,34,22,35,36,136,10,16,152,35,
11/18/2025,="1930",2,39,32,22,25,38,46,39,104,11,17,143,24,
11/18/2025,="1945",2,25,21,13,21,37,41,32,72,11,19,128,40,
11/18/2025,="2000",2,25,32,22,15,34,51,15,62,9,17,123,28,
11/18/2025,="2015",2,31,23,8,17,43,56,17,73,16,14,105,36,
11/18/2025,="2030",2,25,21,6,22,21,29,16,57,13,10,117,22,
11/18/2025,="2045",2,17,18,14,18,22,43,10,77,8,13,95,18,
11/18/2025,="2100",2,19,16,9,13,28,24,14,54,2,12,84,18,
11/18/2025,="2115",2,19,12,7,9,13,32,19,79,4,11,87,12,
11/18/2025,="2130",2,22,16,5,16,23,23,22,41,7,5,95,19,
11/18/2025,="2145",2,16,8,5,10,11,23,7,31,3,7,72,22,
11/18/2025,="2200",2,13,6,7,8,10,26,16,30,4,5,83,10,
11/18/2025,="2215",2,13,6,1,9,8,13,14,44,5,1,60,16,
11/18/2025,="2230",2,12,7,1,6,6,10,9,35,1,5,46,11,
11/18/2025,="2245",2,8,3,1,8,8,15,3,33,2,3,36,4,
11/18/2025,="2300",2,6,4,4,2,7,9,11,29,4,1,39,9,
11/18/2025,="2315",2,0,5,5,2,1,6,8,29,2,0,38,6,
11/18/2025,="2330",2,4,0,0,1,4,5,5,29,2,1,34,4,
11/18/2025,="2345",2,7,4,3,1,4,3,4,22,2,1,25,4,
11/19/2025,="0000",2,3,1,0,0,2,5,7,14,0,0,18,2,
11/19/2025,="0015",2,0,1,2,0,1,3,4,12,0,1,19,0,
11/19/2025,="0030",2,2,3,1,3,1,1,3,7,1,0,10,4,
11/19/2025,="0045",2,2,1,0,3,1,0,0,8,2,0,16,6,
11/19/2025,="0100",2,4,1,2,1,1,5,2,22,4,0,8,1,
11/19/2025,="0115",2,0,1,1,2,0,0,2,18,1,1,10,5,
11/19/2025,="0130",2,0,2,1,2,1,4,1,14,0,1,8,2,
11/19/2025,="0145",2,0,1,0,0,2,1,2,18,0,0,11,1,
11/19/2025,="0200",2,0,2,3,2,1,1,5,39,5,0,8,1,
11/19/2025,="0215",2,0,0,0,1,1,1,2,28,0,0,4,1,
11/19/2025,="0230",2,0,0,1,0,1,6,2,15,2,1,12,1,
11/19/2025,="0245",2,1,0,0,0,0,1,0,10,1,0,13,0,
11/19/2025,="0300",2,2,1,0,0,0,3,1,12,4,0,11,0,
11/19/2025,="0315",2,4,1,1,0,0,7,1,6,0,0,21,4,
11/19/2025,="0330",2,1,1,3,3,0,11,1,16,0,1,19,2,
11/19/2025,="0345",2,2,1,2,3,2,6,3,15,0,2,23,1,
11/19/2025,="0400",2,3,3,3,2,1,11,4,9,2,1,37,2,
11/19/2025,="0415",2,4,1,6,2,2,11,4,25,5,1,45,1,
11/19/2025,="0430",2,6,3,2,5,3,16,7,40,4,2,49,2,
11/19/2025,="0445",2,5,6,3,4,8,22,6,44,3,3,60,3,
11/19/2025,="0500",2,4,4,5,7,6,8,10,45,5,7,25,5,
11/19/2025,="0515",2,5,15,8,2,13,11,14,73,7,6,33,8,
11/19/2025,="0530",2,3,20,11,6,9,10,17,68,9,2,49,22,
11/19/2025,="0545",2,2,13,26,14,15,12,32,100,11,7,41,19,
11/19/2025,="0600",2,1,15,11,21,23,22,15,104,6,6,80,27,
11/19/2025,="0615",2,13,20,29,19,32,23,26,159,23,8,59,26,
11/19/2025,="0630",2,8,34,33,36,39,31,41,237,27,14,43,46,
11/19/2025,="0645",2,7,42,63,21,30,15,24,203,27,12,81,41,
11/19/2025,="0700",2,29,61,38,58,60,33,31,268,22,26,115,16,
11/19/2025,="0715",2,36,100,74,73,99,39,32,316,15,32,142,29,
11/19/2025,="0730",2,51,111,74,62,107,36,33,318,16,37,155,24,
11/19/2025,="0745",2,33,98,83,65,108,59,37,286,16,40,171,24,
11/19/2025,="0800",2,32,113,81,65,96,33,40,297,15,28,149,31,
11/19/2025,="0815",2,32,91,93,63,102,26,53,300,17,34,117,19,
11/19/2025,="0830",2,40,83,71,68,68,15,42,290,25,33,108,23,
11/19/2025,="0845",2,47,82,49,76,81,28,42,279,20,36,134,20,
11/19/2025,="0900",2,37,54,46,89,76,40,46,258,23,41,108,26,
11/19/2025,="0915",2,35,64,38,76,42,24,49,264,26,33,142,27,
11/19/2025,="0930",2,34,55,42,67,60,40,43,237,32,16,110,34,
11/19/2025,="0945",2,48,48,33,59,46,29,36,261,22,29,136,37,
11/19/2025,="1000",2,45,80,42,67,58,39,37,177,24,20,128,37,
11/19/2025,="1015",2,36,54,34,77,53,38,36,203,19,28,169,42,
11/19/2025,="1030",2,31,62,38,47,64,33,35,180,23,35,135,41,
11/19/2025,="1045",2,42,52,37,57,64,40,44,186,23,36,148,35,
11/19/2025,="1100",2,51,47,28,55,54,41,31,194,29,27,154,38,
11/19/2025,="1115",2,47,61,32,62,67,42,48,185,15,39,150,39,
11/19/2025,="1130",2,53,72,44,64,51,45,41,223,18,25,167,36,
11/19/2025,="1145",2,53,62,24,81,71,40,31,228,18,35,179,43,
11/19/2025,="1200",2,57,47,33,63,59,55,47,192,21,30,200,59,
11/19/2025,="1215",2,66,75,31,66,41,49,38,206,23,30,189,46,
11/19/2025,="1230",2,47,66,39,70,56,53,47,208,33,36,176,39,
11/19/2025,="1245",2,45,78,29,58,74,46,39,204,27,37,210,31,
11/19/2025,="1300",2,58,70,36,54,75,51,34,176,18,34,190,32,
11/19/2025,="1315",2,53,59,28,49,68,55,44,191,24,29,200,45,
11/19/2025,="1330",2,45,54,32,59,66,53,40,174,22,23,191,42,
11/19/2025,="1345",2,50,53,20,57,63,52,26,192,28,29,195,44,
11/19/2025,="1400",2,54,57,33,50,78,68,34,225,28,39,199,50,
11/19/2025,="1415",2,54,78,28,39,88,72,42,181,20,47,198,37,
11/19/2025,="1430",2,58,59,28,55,59,59,32,193,20,57,264,46,
11/19/2025,="1445",2,70,76,29,52,70,62,49,206,22,32,244,39,
11/19/2025,="1500",2,51,61,25,68,76,70,38,270,24,35,259,39,
11/19/2025,="1515",2,53,65,29,64,86,58,42,265,36,37,285,52,
11/19/2025,="1530",2,61,88,29,69,74,64,32,241,21,39,298,47,
11/19/2025,="1545",2,56,90,40,69,95,60,34,270,25,40,291,42,
11/19/2025,="1600",2,64,83,30,68,100,68,40,225,28,40,296,55,
11/19/2025,="1615",2,69,88,26,60,113,64,37,199,22,58,305,40,
11/19/2025,="1630",2,66,85,24,65,115,75,29,220,25,33,305,45,
11/19/2025,="1645",2,64,95,24,59,92,57,38,225,23,57,327,39,
11/19/2025,="1700",2,57,61,31,62,103,78,28,218,28,39,270,49,
11/19/2025,="1715",2,50,65,26,56,70,69,29,208,32,30,220,194,
11/19/2025,="1730",2,57,77,42,44,79,61,41,238,22,23,210,213,
11/19/2025,="1745",2,49,56,26,39,83,50,45,205,21,30,209,209,
11/19/2025,="1800",2,52,62,25,36,72,55,41,228,17,26,218,236,
11/19/2025,="1815",2,60,62,23,62,66,66,37,246,16,25,205,215,
11/19/2025,="1830",2,56,53,21,48,64,47,36,169,13,17,173,174,
11/19/2025,="1845",2,57,41,25,31,37,55,36,133,8,14,143,135,
11/19/2025,="1900",2,41,44,22,37,28,42,22,111,17,13,183,189,
11/19/2025,="1915",2,32,34,20,33,25,32,23,116,11,8,172,167,
11/19/2025,="1930",2,24,26,21,29,29,55,26,107,11,11,139,117,
11/19/2025,="1945",2,39,33,18,29,29,49,43,116,8,12,114,141,
11/19/2025,="2000",2,42,33,11,20,32,55,26,79,12,13,133,117,
11/19/2025,="2015",2,37,31,11,35,30,47,16,66,10,23,154,130,
11/19/2025,="2030",2,26,18,13,24,27,47,25,74,7,16,153,133,
11/19/2025,="2045",2,30,18,6,22,31,42,16,82,5,7,123,95,
11/19/2025,="2100",2,23,22,11,16,17,39,12,70,8,10,96,84,
11/19/2025,="2115",2,18,22,8,18,25,37,13,41,6,10,98,86,
11/19/2025,="2130",2,22,14,9,16,19,30,21,64,2,13,74,64,
11/19/2025,="2145",2,16,15,7,11,15,19,17,48,5,5,64,50,
11/19/2025,="2200",2,13,9,4,13,20,18,20,48,4,4,93,65,
11/19/2025,="2215",2,13,6,6,14,12,19,9,40,5,7,58,47,
11/19/2025,="2230",2,12,6,4,7,4,13,10,28,2,1,45,35,
11/19/2025,="2245",2,8,1,1,7,7,8,7,22,1,1,44,23,
11/19/2025,="2300",2,12,4,5,3,4,8,6,27,2,2,44,24,
11/19/2025,="2315",2,6,2,2,4,1,8,2,18,6,3,19,16,
11/19/2025,="2330",2,4,3,0,1,3,10,0,24,1,3,43,27,
11/19/2025,="2345",2,5,6,0,2,0,5,1,16,1,1,19,14,
11/20/2025,="0000",2,2,1,1,1,3,2,5,17,3,0,14,11,
11/20/2025,="0015",2,1,0,0,1,0,7,3,21,1,0,22,17,
11/20/2025,="0030",2,1,1,2,2,0,3,1,8,2,1,6,10,
11/20/2025,="0045",2,2,1,2,1,0,2,2,18,1,0,16,11,
11/20/2025,="0100",2,2,1,6,1,0,7,3,25,8,0,14,13,
11/20/2025,="0115",2,0,1,0,2,0,2,5,15,1,1,10,9,
11/20/2025,="0130",2,2,0,1,0,0,5,4,23,3,2,6,5,
11/20/2025,="0145",2,0,1,0,2,0,1,5,32,0,0,7,5,
11/20/2025,="0200",2,0,3,0,1,1,2,2,28,0,0,9,10,
11/20/2025,="0215",2,0,0,0,2,1,3,3,16,0,0,8,5,
11/20/2025,="0230",2,2,0,1,0,0,4,3,12,4,1,12,4,
11/20/2025,="0245",2,2,1,3,2,0,4,0,4,1,0,15,7,
11/20/2025,="0300",2,1,0,1,1,1,3,1,9,0,0,11,5,
11/20/2025,="0315",2,3,1,0,2,1,6,1,12,1,0,21,11,
11/20/2025,="0330",2,4,0,1,0,1,7,3,15,0,0,28,8,
11/20/2025,="0345",2,3,3,1,4,3,10,4,21,2,2,33,16,
11/20/2025,="0400",2,1,1,4,2,2,13,0,14,3,0,30,12,
11/20/2025,="0415",2,2,2,3,1,3,18,5,17,1,2,37,18,
11/20/2025,="0430",2,10,2,0,3,2,20,7,51,3,1,69,32,
11/20/2025,="0445",2,7,7,1,5,12,18,7,45,3,0,80,39,
11/20/2025,="0500",2,6,7,6,3,3,12,9,60,8,2,24,14,
11/20/2025,="0515",2,4,18,2,5,11,14,11,64,15,7,37,23,
11/20/2025,="0530",2,9,18,11,11,13,10,19,96,7,7,48,28,
11/20/2025,="0545",2,15,19,16,10,16,12,29,105,11,6,46,28,
11/20/2025,="0600",2,11,20,9,10,19,18,24,101,11,10,67,37,
11/20/2025,="0615",2,17,28,10,20,33,15,44,134,10,11,63,50,
11/20/2025,="0630",2,9,27,23,43,45,25,41,238,11,10,50,75,
11/20/2025,="0645",2,19,34,51,47,39,25,33,282,27,9,48,92,
11/20/2025,="0700",2,23,44,43,53,37,27,12,264,16,7,56,89,
11/20/2025,="0715",2,22,52,51,28,63,39,26,198,5,5,48,114,
11/20/2025,="0730",2,29,51,81,18,50,26,15,163,9,7,56,98,
11/20/2025,="0745",2,17,47,86,31,42,38,21,147,4,6,44,101,
11/20/2025,="0800",2,17,61,73,31,57,26,28,183,13,5,54,66,
11/20/2025,="0815",2,44,94,76,62,86,18,40,252,16,24,110,22,
11/20/2025,="0830",2,57,84,52,85,71,14,41,249,12,24,83,19,
11/20/2025,="0845",2,38,79,39,71,58,37,54,276,14,22,109,43,
11/20/2025,="0900",2,34,55,37,80,70,31,52,216,21,34,112,22,
11/20/2025,="0915",2,26,52,32,55,37,35,35,228,15,14,137,25,
11/20/2025,="0930",2,27,52,23,55,35,26,44,200,19,28,112,30,
11/20/2025,="0945",2,28,46,36,52,49,35,35,240,21,21,114,21,
11/20/2025,="1000",2,49,68,26,49,61,42,39,184,13,25,125,22,
11/20/2025,="1015",2,41,55,28,45,37,41,39,172,23,24,118,22,
11/20/2025,="1030",2,35,67,23,43,50,31,31,193,17,24,112,25,
11/20/2025,="1045",2,34,50,44,64,48,45,42,194,19,24,166,34,
11/20/2025,="1100",2,49,51,30,57,66,40,37,193,25,23,181,29,
11/20/2025,="1115",2,45,57,35,73,63,48,30,184,19,39,132,33,
11/20/2025,="1130",2,43,49,40,53,41,36,22,199,19,32,160,40,
11/20/2025,="1145",2,47,57,22,72,56,31,30,179,17,28,148,57,
11/20/2025,="1200",2,58,47,52,66,59,42,41,183,16,24,179,42,
11/20/2025,="1215",2,51,45,20,60,53,46,29,153,16,35,198,41,
11/20/2025,="1230",2,32,46,30,76,64,38,35,188,18,22,187,47,
11/20/2025,="1245",2,46,52,37,65,60,42,31,218,18,23,201,50,
11/20/2025,="1300",2,50,49,32,54,60,55,38,160,13,20,164,44,
11/20/2025,="1315",2,46,40,18,45,52,38,28,166,16,30,169,42,
11/20/2025,="1330",2,40,57,27,49,65,60,29,182,19,27,180,34,
11/20/2025,="1345",2,45,63,23,43,51,41,35,175,20,33,165,26,
11/20/2025,="1400",2,55,39,25,47,57,50,39,216,20,34,213,35,
11/20/2025,="1415",2,57,59,26,58,71,64,38,134,15,35,175,32,
11/20/2025,="1430",2,48,48,19,53,70,58,30,211,10,39,255,44,
11/20/2025,="1445",2,55,69,26,49,67,49,45,223,19,50,257,46,
11/20/2025,="1500",2,46,57,22,55,75,52,39,240,22,28,248,40,
11/20/2025,="1515",2,40,57,26,66,86,73,44,232,27,31,276,28,
11/20/2025,="1530",2,66,78,34,66,82,47,34,216,16,41,265,33,
11/20/2025,="1545",2,69,70,23,65,85,60,34,231,16,50,266,48,
11/20/2025,="1600",2,65,79,19,89,82,59,34,192,16,35,260,33,
11/20/2025,="1615",2,70,75,24,63,88,51,39,184,16,37,252,54,
11/20/2025,="1630",2,69,78,18,54,66,42,41,165,17,16,67,53,
11/20/2025,="1645",2,53,44,16,52,39,26,34,174,17,9,80,65,
11/20/2025,="1700",2,62,38,16,48,47,22,47,148,15,11,134,75,
11/20/2025,="1715",2,67,56,16,49,61,29,42,184,14,30,170,84,
11/20/2025,="1730",2,69,75,9,53,88,34,56,178,10,18,174,76,
11/20/2025,="1745",2,88,52,12,53,54,30,69,186,9,36,179,63,
11/20/2025,="1800",2,90,58,14,52,48,28,48,201,16,20,166,65,
11/20/2025,="1815",2,63,67,10,39,49,38,42,191,5,18,177,76,
11/20/2025,="1830",2,61,33,15,51,58,28,46,204,10,12,164,58,
11/20/2025,="1845",2,79,46,12,40,50,27,52,143,4,21,98,51,
11/20/2025,="1900",2,52,42,12,34,38,38,29,145,4,14,124,47,
11/20/2025,="1915",2,34,40,14,29,52,32,31,133,7,17,115,48,
11/20/2025,="1930",2,37,33,6,31,39,29,32,105,3,13,120,44,
11/20/2025,="1945",2,48,27,4,27,39,31,42,125,5,19,116,27,
11/20/2025,="2000",2,34,59,7,28,46,38,20,87,5,8,106,47,
11/20/2025,="2015",2,41,27,3,22,28,33,30,83,6,4,100,27,
11/20/2025,="2030",2,25,24,9,30,34,35,23,83,4,9,94,39,
11/20/2025,="2045",2,33,20,6,28,21,34,23,69,3,9,90,34,
11/20/2025,="2100",2,16,21,7,17,35,32,23,73,4,9,89,19,
11/20/2025,="2115",2,26,12,7,15,28,32,18,85,4,9,81,24,
11/20/2025,="2130",2,26,23,6,18,22,15,14,53,7,12,89,23,
11/20/2025,="2145",2,25,11,8,14,19,20,18,44,3,14,70,17,
11/20/2025,="2200",2,35,9,2,13,11,23,24,40,6,21,65,19,
11/20/2025,="2215",2,24,15,1,23,7,12,20,40,6,12,45,13,
11/20/2025,="2230",2,18,6,1,24,2,13,18,43,4,16,62,14,
11/20/2025,="2245",2,21,5,2,9,6,10,9,27,1,7,28,4,
11/20/2025,="2300",2,29,6,2,10,5,14,1,23,3,11,34,8,
11/20/2025,="2315",2,24,2,3,8,8,7,8,20,5,11,38,2,
11/20/2025,="2330",2,11,4,3,9,2,6,9,28,2,18,37,13,
11/20/2025,="2345",2,14,1,2,7,6,5,2,28,3,4,36,1,
11/21/2025,="0000",2,9,3,0,6,6,3,10,19,3,12,19,5,
11/21/2025,="0015",2,2,0,1,4,1,5,0,17,0,9,23,2,
11/21/2025,="0030",2,14,3,1,2,1,5,5,30,1,10,25,5,
11/21/2025,="0045",2,1,6,1,6,1,4,8,18,0,12,19,2,
11/21/2025,="0100",2,3,3,0,1,3,2,0,21,1,11,18,2,
11/21/2025,="0115",2,6,0,0,1,2,1,0,16,2,1,4,1,
11/21/2025,="0130",2,0,1,0,6,1,2,6,35,3,6,11,1,
11/21/2025,="0145",2,0,2,0,4,2,1,5,38,2,16,10,0,
11/21/2025,="0200",2,2,3,0,2,3,3,5,67,1,7,6,4,
11/21/2025,="0215",2,0,1,0,4,5,3,6,27,0,0,13,2,
11/21/2025,="0230",2,0,2,2,3,3,8,3,14,0,4,18,4,
11/21/2025,="0245",2,3,1,2,2,4,3,4,11,0,3,12,4,
11/21/2025,="0300",2,1,1,0,3,10,8,5,18,0,0,10,1,
11/21/2025,="0315",2,5,1,0,2,1,3,1,16,2,1,23,1,
11/21/2025,="0330",2,3,0,1,0,3,6,7,13,1,0,28,2,
11/21/2025,="0345",2,2,3,1,10,5,11,5,22,3,1,30,4,
11/21/2025,="0400",2,9,2,2,6,2,10,3,16,2,0,23,1,
11/21/2025,="0415",2,3,2,1,4,9,22,11,24,2,1,54,3,
11/21/2025,="0430",2,10,6,1,5,11,29,16,49,2,0,76,5,
11/21/2025,="0445",2,5,6,3,11,13,17,18,48,4,2,62,11,
11/21/2025,="0500",2,5,8,3,8,7,15,17,62,6,5,27,5,
11/21/2025,="0515",2,1,9,11,6,18,14,18,71,11,8,32,6,
11/21/2025,="0530",2,8,19,7,14,14,14,23,111,9,2,39,11,
11/21/2025,="0545",2,7,22,10,11,20,13,34,89,5,3,43,11,
11/21/2025,="0600",2,9,14,14,17,29,19,29,102,3,5,71,13,
11/21/2025,="0615",2,8,20,22,34,26,11,34,159,13,13,50,26,
11/21/2025,="0630",2,14,38,15,48,43,25,34,191,8,16,60,44,
11/21/2025,="0645",2,16,42,34,39,30,19,42,278,22,7,60,51,
11/21/2025,="0700",2,27,42,44,43,38,39,18,206,21,16,111,16,
11/21/2025,="0715",2,48,87,51,83,90,33,45,277,15,36,150,32,
11/21/2025,="0730",2,43,85,73,70,80,35,27,298,10,33,137,16,
11/21/2025,="0745",2,32,87,70,67,72,48,43,271,19,29,174,31,
11/21/2025,="0800",2,35,67,53,79,74,31,33,280,20,26,145,23,
11/21/2025,="0815",2,36,56,51,67,57,35,48,271,19,21,127,28,
11/21/2025,="0830",2,38,57,50,53,69,25,42,294,20,30,126,24,
11/21/2025,="0845",2,45,54,48,65,73,30,38,260,32,34,139,20,
11/21/2025,="0900",2,36,66,33,46,44,40,29,202,24,26,139,23,
11/21/2025,="0915",2,20,56,41,50,57,41,29,247,28,19,128,32,
11/21/2025,="0930",2,34,59,43,63,58,40,51,193,21,27,101,32,
11/21/2025,="0945",2,46,47,32,51,60,42,44,212,22,31,162,32,
11/21/2025,="1000",2,39,78,43,72,54,43,37,196,24,27,147,30,
11/21/2025,="1015",2,43,51,34,58,56,42,36,237,19,33,135,34,
11/21/2025,="1030",2,53,59,34,57,61,43,34,215,24,27,146,24,
11/21/2025,="1045",2,47,57,31,69,60,52,47,224,27,27,127,34,
11/21/2025,="1100",2,45,71,41,60,48,35,29,245,28,25,160,38,
11/21/2025,="1115",2,58,59,29,78,64,54,50,224,25,38,153,32,
11/21/2025,="1130",2,44,51,33,55,70,38,37,243,25,20,181,51,
11/21/2025,="1145",2,54,87,18,60,75,42,52,212,26,41,174,54,
11/21/2025,="1200",2,53,50,38,69,57,41,47,219,17,34,179,56,
11/21/2025,="1215",2,68,74,32,70,63,61,39,181,27,27,217,49,
11/21/2025,="1230",2,70,66,37,77,80,62,57,191,21,42,209,51,
11/21/2025,="1245",2,56,67,22,54,70,68,39,244,30,39,229,53,
11/21/2025,="1300",2,64,69,20,68,96,49,53,159,31,35,194,43,
11/21/2025,="1315",2,57,57,25,44,53,72,61,164,29,37,223,56,
11/21/2025,="1330",2,79,71,33,71,62,63,37,198,24,17,211,50,
11/21/2025,="1345",2,60,51,26,61,64,76,46,199,20,34,210,53,
11/21/2025,="1400",2,63,55,19,70,66,60,41,233,21,38,233,44,
11/21/2025,="1415",2,69,68,25,51,89,72,37,189,26,44,165,35,
11/21/2025,="1430",2,48,53,28,63,100,65,35,212,23,50,276,51,
11/21/2025,="1445",2,70,46,14,52,83,55,48,184,24,53,293,48,
11/21/2025,="1500",2,74,79,33,64,61,62,34,279,32,27,248,36,
11/21/2025,="1515",2,65,60,32,77,73,70,46,279,35,33,255,42,
11/21/2025,="1530",2,77,64,22,64,91,73,60,231,39,55,258,55,
11/21/2025,="1545",2,75,64,20,51,86,75,73,235,22,62,279,68,
11/21/2025,="1600",2,66,47,32,85,73,71,81,215,16,77,271,81,
11/21/2025,="1615",2,75,65,15,105,68,68,80,252,21,104,250,115,
11/21/2025,="1630",2,68,94,18,77,82,76,54,230,29,33,169,79,
11/21/2025,="1645",2,59,85,26,74,109,65,35,272,25,24,39,66,
11/21/2025,="1700",2,63,79,21,57,100,75,36,268,21,42,318,44,
11/21/2025,="1715",2,54,60,37,51,85,67,39,218,28,22,237,28,
11/21/2025,="1730",2,58,61,29,74,71,44,40,244,21,24,190,43,
11/21/2025,="1745",2,56,46,22,56,51,43,40,229,21,20,183,56,
11/21/2025,="1800",2,63,59,27,73,64,34,46,226,23,19,168,54,
11/21/2025,="1815",2,54,49,39,85,63,51,32,264,12,21,165,38,
11/21/2025,="1830",2,51,61,36,63,39,42,41,200,15,11,153,38,
11/21/2025,="1845",2,43,55,31,45,29,31,49,149,30,16,151,57,
11/21/2025,="1900",2,37,31,18,42,24,44,37,156,11,18,159,32,
11/21/2025,="1915",2,49,29,15,26,28,45,33,132,6,17,168,42,
11/21/2025,="1930",2,32,37,16,33,30,49,35,136,9,4,141,48,
11/21/2025,="1945",2,33,36,11,41,32,57,20,106,9,17,133,38,
11/21/2025,="2000",2,36,32,11,28,29,55,25,114,13,20,116,27,
11/21/2025,="2015",2,27,23,6,26,16,22,17,106,13,14,143,31,
11/21/2025,="2030",2,34,21,13,19,31,31,17,77,17,7,121,30,
11/21/2025,="2045",2,31,29,19,24,22,35,9,76,4,16,110,26,
11/21/2025,="2100",2,34,17,9,23,27,42,17,67,11,17,112,29,
11/21/2025,="2115",2,25,21,13,14,29,29,18,75,10,7,130,32,
11/21/2025,="2130",2,22,11,7,18,15,35,17,74,6,8,110,26,
11/21/2025,="2145",2,28,28,3,8,22,36,13,49,9,12,109,15,
11/21/2025,="2200",2,21,23,5,12,14,28,15,43,9,15,119,27,
